Common Name,Station Number,Station Description,Sample Years,Total Fish Count,Yearly Average,Waterway,x,y
fathead minnow,        29,Des Plaines River at Stephen Street,2008,2,2,Des Plaines River,-9796385.089554068,5113414.579669373
green sunfish x bluegill,        13,Des Plaines River at Lake-Cook Road,"2006, 2008",4,2,Des Plaines River,-9786103.272410415,5183885.200209065
green sunfish x bluegill,        22,Des Plaines River at Ogden Avenue,2008,1,1,Des Plaines River,-9775033.160497827,5134155.08934849
oriental weatherfish,        22,Des Plaines River at Ogden Avenue,2008,8,8,Des Plaines River,-9775033.160497827,5134155.08934849
pumpkinseed x bluegill,        92,Chicago Sanitary and Ship Canal at Lockport (16th Street),2009,3,3,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
quillback,        55,Calumet River at 130th Street,"2001, 2003, 2006, 2007, 2009",11,2,Calumet River,-9748530.69045206,5110104.230203494
northern pike,        76,Little Calumet River at Halsted Street,"2007, 2009",2,1,Little Calumet River,-9756147.689317683,5109826.122291395
spotted sucker,       101,North Shore Channel at Foster Avenue,2009,1,1,North Shore Channel,-9763248.504184216,5157380.484896455
channel catfish,       101,North Shore Channel at Foster Avenue,2009,1,1,North Shore Channel,-9763248.504184216,5157380.484896455
pumpkinseed,       101,North Shore Channel at Foster Avenue,"2001, 2005, 2009",37,12,North Shore Channel,-9763248.504184216,5157380.484896455
yellow bullhead,       101,North Shore Channel at Foster Avenue,"2005, 2009",12,6,North Shore Channel,-9763248.504184216,5157380.484896455
bluegill,       101,North Shore Channel at Foster Avenue,"2001, 2005, 2009",125,41,North Shore Channel,-9763248.504184216,5157380.484896455
gizzard shad,       101,North Shore Channel at Foster Avenue,"2001, 2005, 2009",218,72,North Shore Channel,-9763248.504184216,5157380.484896455
common carp,       101,North Shore Channel at Foster Avenue,"2001, 2005, 2009",31,10,North Shore Channel,-9763248.504184216,5157380.484896455
goldfish,       101,North Shore Channel at Foster Avenue,"2001, 2005, 2009",11,3,North Shore Channel,-9763248.504184216,5157380.484896455
yellow bullhead,       102,North Shore Channel at Oakton Street,"2005, 2009",4,2,North Shore Channel,-9763838.713194087,5164984.791142569
green sunfish,       102,North Shore Channel at Oakton Street,"2005, 2009",14,7,North Shore Channel,-9763838.713194087,5164984.791142569
gizzard shad,       102,North Shore Channel at Oakton Street,"2005, 2009",18,9,North Shore Channel,-9763838.713194087,5164984.791142569
black bullhead,       102,North Shore Channel at Oakton Street,"2005, 2009",3,1,North Shore Channel,-9763838.713194087,5164984.791142569
rock bass,       102,North Shore Channel at Oakton Street,"2005, 2009",4,2,North Shore Channel,-9763838.713194087,5164984.791142569
black crappie,       102,North Shore Channel at Oakton Street,"2005, 2009",3,1,North Shore Channel,-9763838.713194087,5164984.791142569
largemouth bass,       102,North Shore Channel at Oakton Street,"2001, 2005, 2009",40,13,North Shore Channel,-9763838.713194087,5164984.791142569
bluegill,       102,North Shore Channel at Oakton Street,"2005, 2009",12,6,North Shore Channel,-9763838.713194087,5164984.791142569
goldfish,       102,North Shore Channel at Oakton Street,"2005, 2009",19,9,North Shore Channel,-9763838.713194087,5164984.791142569
common carp,       102,North Shore Channel at Oakton Street,"2005, 2009",5,2,North Shore Channel,-9763838.713194087,5164984.791142569
yellow bullhead,        35,North Shore Channel at Central Street,2009,2,2,North Shore Channel,-9761286.946422856,5170628.6171330195
white sucker,        35,North Shore Channel at Central Street,2009,8,8,North Shore Channel,-9761286.946422856,5170628.6171330195
bluegill,        35,North Shore Channel at Central Street,"2001, 2005, 2009",65,21,North Shore Channel,-9761286.946422856,5170628.6171330195
rock bass,        35,North Shore Channel at Central Street,"2001, 2005, 2009",42,14,North Shore Channel,-9761286.946422856,5170628.6171330195
common carp,        35,North Shore Channel at Central Street,"2005, 2009",53,26,North Shore Channel,-9761286.946422856,5170628.6171330195
goldfish,        35,North Shore Channel at Central Street,"2005, 2009",5,2,North Shore Channel,-9761286.946422856,5170628.6171330195
gizzard shad,        35,North Shore Channel at Central Street,"2001, 2005, 2009",47,15,North Shore Channel,-9761286.946422856,5170628.6171330195
carp x goldfish,        37,North Branch Chicago River at Wilson Avenue,2009,1,1,North Branch Chicago River,-9762427.895694703,5155720.021993471
yellow perch,        37,North Branch Chicago River at Wilson Avenue,2009,1,1,North Branch Chicago River,-9762427.895694703,5155720.021993471
bluntnose minnow,       101,North Shore Channel at Foster Avenue,"2001, 2005, 2009",39,13,North Shore Channel,-9763248.504184216,5157380.484896455
largemouth bass,       101,North Shore Channel at Foster Avenue,"2001, 2005, 2009",86,28,North Shore Channel,-9763248.504184216,5157380.484896455
golden shiner,       101,North Shore Channel at Foster Avenue,"2005, 2009",44,22,North Shore Channel,-9763248.504184216,5157380.484896455
white sucker,       101,North Shore Channel at Foster Avenue,"2001, 2005, 2009",15,5,North Shore Channel,-9763248.504184216,5157380.484896455
spotfin shiner,       101,North Shore Channel at Foster Avenue,"2005, 2009",31,15,North Shore Channel,-9763248.504184216,5157380.484896455
pumpkinseed,        37,North Branch Chicago River at Wilson Avenue,2009,19,19,North Branch Chicago River,-9762427.895694703,5155720.021993471
oriental weatherfish,        36,North Shore Channel at Touhy Avenue,2009,1,1,North Shore Channel,-9763880.193364626,5162772.158302309
round goby,        35,North Shore Channel at Central Street,2009,2,2,North Shore Channel,-9761286.946422856,5170628.6171330195
pumpkinseed,        35,North Shore Channel at Central Street,"2001, 2005, 2009",73,24,North Shore Channel,-9761286.946422856,5170628.6171330195
blackstripe topminnow,        35,North Shore Channel at Central Street,2009,1,1,North Shore Channel,-9761286.946422856,5170628.6171330195
largemouth bass,        35,North Shore Channel at Central Street,"2001, 2005, 2009",60,20,North Shore Channel,-9761286.946422856,5170628.6171330195
golden shiner,        35,North Shore Channel at Central Street,"2001, 2005, 2009",5,1,North Shore Channel,-9761286.946422856,5170628.6171330195
green sunfish,        35,North Shore Channel at Central Street,"2001, 2005, 2009",36,12,North Shore Channel,-9761286.946422856,5170628.6171330195
yellow perch,        35,North Shore Channel at Central Street,2009,4,4,North Shore Channel,-9761286.946422856,5170628.6171330195
bluntnose minnow,        35,North Shore Channel at Central Street,"2001, 2005, 2009",56,18,North Shore Channel,-9761286.946422856,5170628.6171330195
alewife,        35,North Shore Channel at Central Street,2009,7,7,North Shore Channel,-9761286.946422856,5170628.6171330195
blackstripe topminnow,       102,North Shore Channel at Oakton Street,2009,3,3,North Shore Channel,-9763838.713194087,5164984.791142569
golden shiner,       102,North Shore Channel at Oakton Street,"2001, 2005, 2009",84,28,North Shore Channel,-9763838.713194087,5164984.791142569
spotfin shiner,       102,North Shore Channel at Oakton Street,"2005, 2009",17,8,North Shore Channel,-9763838.713194087,5164984.791142569
bluntnose minnow,       102,North Shore Channel at Oakton Street,"2005, 2009",93,46,North Shore Channel,-9763838.713194087,5164984.791142569
round goby,       102,North Shore Channel at Oakton Street,2009,12,12,North Shore Channel,-9763838.713194087,5164984.791142569
pumpkinseed,       102,North Shore Channel at Oakton Street,"2005, 2009",146,73,North Shore Channel,-9763838.713194087,5164984.791142569
fathead minnow,       102,North Shore Channel at Oakton Street,2009,3,3,North Shore Channel,-9763838.713194087,5164984.791142569
oriental weatherfish,       102,North Shore Channel at Oakton Street,2009,2,2,North Shore Channel,-9763838.713194087,5164984.791142569
yellow perch,       102,North Shore Channel at Oakton Street,2009,3,3,North Shore Channel,-9763838.713194087,5164984.791142569
white sucker,       102,North Shore Channel at Oakton Street,"2005, 2009",21,10,North Shore Channel,-9763838.713194087,5164984.791142569
orangespotted sunfish,        22,Des Plaines River at Ogden Avenue,"2001, 2002, 2004, 2006, 2007, 2008, 2009",16,2,Des Plaines River,-9775033.160497827,5134155.08934849
common carp,        22,Des Plaines River at Ogden Avenue,"2002, 2004, 2005, 2008, 2009",16,3,Des Plaines River,-9775033.160497827,5134155.08934849
grass pickerel,        91,Des Plaines River at Material Service Road,"2001, 2002, 2003, 2007, 2009",8,1,Des Plaines River,-9803757.593335949,5100729.017568359
goldfish,        32,Skokie River at Lake-Cook Road,2009,1,1,Skokie River,-9773171.65434657,5183881.030230567
pumpkinseed,        32,Skokie River at Lake-Cook Road,2009,1,1,Skokie River,-9773171.65434657,5183881.030230567
green sunfish,        32,Skokie River at Lake-Cook Road,"2005, 2009",18,9,Skokie River,-9773171.65434657,5183881.030230567
orangespotted sunfish,        32,Skokie River at Lake-Cook Road,2009,6,6,Skokie River,-9773171.65434657,5183881.030230567
white sucker,        31,Middle Fork North Branch Chicago River at Lake-Cook Road,2009,1,1,Middle Fork North Branch Chicago River,-9775428.966959778,5183330.473761027
green sunfish,        31,Middle Fork North Branch Chicago River at Lake-Cook Road,"2005, 2009",10,5,Middle Fork North Branch Chicago River,-9775428.966959778,5183330.473761027
largemouth bass,        31,Middle Fork North Branch Chicago River at Lake-Cook Road,"2001, 2009",4,2,Middle Fork North Branch Chicago River,-9775428.966959778,5183330.473761027
bluegill,       105,Skokie River at Frontage Road,"2001, 2005, 2009",11,3,Skokie River,-9769467.187323028,5174142.560835846
black bullhead,        34,North Branch Chicago River at Dempster Street,2009,1,1,North Branch Chicago River,-9772519.197048591,5167261.607014383
yellow bullhead,        34,North Branch Chicago River at Dempster Street,"2005, 2009",3,1,North Branch Chicago River,-9772519.197048591,5167261.607014383
largemouth bass,        34,North Branch Chicago River at Dempster Street,2009,2,2,North Branch Chicago River,-9772519.197048591,5167261.607014383
green sunfish,        34,North Branch Chicago River at Dempster Street,"2001, 2005, 2009",25,8,North Branch Chicago River,-9772519.197048591,5167261.607014383
largemouth bass,        32,Skokie River at Lake-Cook Road,"2001, 2009",39,19,Skokie River,-9773171.65434657,5183881.030230567
fathead minnow,        32,Skokie River at Lake-Cook Road,"2005, 2009",4,2,Skokie River,-9773171.65434657,5183881.030230567
brook stickleback,        32,Skokie River at Lake-Cook Road,2009,18,18,Skokie River,-9773171.65434657,5183881.030230567
blackstripe topminnow,        32,Skokie River at Lake-Cook Road,2009,1,1,Skokie River,-9773171.65434657,5183881.030230567
white sucker,        32,Skokie River at Lake-Cook Road,2009,6,6,Skokie River,-9773171.65434657,5183881.030230567
central mudminnow,        31,Middle Fork North Branch Chicago River at Lake-Cook Road,"2005, 2009",9,4,Middle Fork North Branch Chicago River,-9775428.966959778,5183330.473761027
golden shiner,       103,West Fork North Branch Chicago River at Golf Road,2009,1,1,West Fork North Branch Chicago River,-9771841.694236573,5169273.313312094
bluntnose minnow,       103,West Fork North Branch Chicago River at Golf Road,2009,1,1,West Fork North Branch Chicago River,-9771841.694236573,5169273.313312094
goldfish,       103,West Fork North Branch Chicago River at Golf Road,2009,1,1,West Fork North Branch Chicago River,-9771841.694236573,5169273.313312094
common carp,       103,West Fork North Branch Chicago River at Golf Road,2009,1,1,West Fork North Branch Chicago River,-9771841.694236573,5169273.313312094
blackstripe topminnow,       103,West Fork North Branch Chicago River at Golf Road,"2005, 2009",3,1,West Fork North Branch Chicago River,-9771841.694236573,5169273.313312094
yellow bullhead,       103,West Fork North Branch Chicago River at Golf Road,"2005, 2009",3,1,West Fork North Branch Chicago River,-9771841.694236573,5169273.313312094
largemouth bass,       103,West Fork North Branch Chicago River at Golf Road,"2001, 2009",8,4,West Fork North Branch Chicago River,-9771841.694236573,5169273.313312094
green sunfish,       103,West Fork North Branch Chicago River at Golf Road,"2001, 2005, 2009",11,3,West Fork North Branch Chicago River,-9771841.694236573,5169273.313312094
green sunfish,       106,West Fork North Branch Chicago River at Dundee Road,"2005, 2009",2,1,West Fork North Branch Chicago River,-9777719.3660057,5181767.818476338
Iowa darter,       106,West Fork North Branch Chicago River at Dundee Road,2009,1,1,West Fork North Branch Chicago River,-9777719.3660057,5181767.818476338
common carp,       106,West Fork North Branch Chicago River at Dundee Road,"2001, 2005, 2009",11,3,West Fork North Branch Chicago River,-9777719.3660057,5181767.818476338
largemouth bass,       106,West Fork North Branch Chicago River at Dundee Road,2009,1,1,West Fork North Branch Chicago River,-9777719.3660057,5181767.818476338
fathead minnow,       106,West Fork North Branch Chicago River at Dundee Road,2009,4,4,West Fork North Branch Chicago River,-9777719.3660057,5181767.818476338
white sucker,       106,West Fork North Branch Chicago River at Dundee Road,2009,36,36,West Fork North Branch Chicago River,-9777719.3660057,5181767.818476338
central mudminnow,       104,North Branch Chicago River at Glenview Road,2009,3,3,North Branch Chicago River,-9770990.71844705,5171319.185344051
central mudminnow,       105,Skokie River at Frontage Road,2009,5,5,Skokie River,-9769467.187323028,5174142.560835846
green sunfish,       105,Skokie River at Frontage Road,"2001, 2005, 2009",72,24,Skokie River,-9769467.187323028,5174142.560835846
largemouth bass,       105,Skokie River at Frontage Road,"2001, 2009",20,10,Skokie River,-9769467.187323028,5174142.560835846
fathead minnow,       105,Skokie River at Frontage Road,2009,1,1,Skokie River,-9769467.187323028,5174142.560835846
blackstripe topminnow,       105,Skokie River at Frontage Road,2009,4,4,Skokie River,-9769467.187323028,5174142.560835846
white sucker,        34,North Branch Chicago River at Dempster Street,"2001, 2005, 2009",4,1,North Branch Chicago River,-9772519.197048591,5167261.607014383
central mudminnow,        34,North Branch Chicago River at Dempster Street,2009,3,3,North Branch Chicago River,-9772519.197048591,5167261.607014383
largemouth bass,        96,North Branch Chicago River at Albany Avenue,2009,1,1,North Branch Chicago River,-9764088.462110577,5156857.124687181
orangespotted sunfish,        64,West Branch DuPage River at Lake Street,"2001, 2003, 2008, 2010",4,1,West Branch Du Page River,-9810939.89297938,5157781.364521299
green sunfish x bluegill,        18,Salt Creek at Devon Avenue,"2006, 2010",3,1,Salt Creek,-9795587.075606022,5159923.790866642
carp x goldfish,       108,South Branch Chicago River at Loomis Street,"2002, 2006, 2010",4,1,South Branch Chicago River,-9758326.630046986,5137947.951214144
green sunfish x bluegill,       108,South Branch Chicago River at Loomis Street,"2006, 2010",2,1,South Branch Chicago River,-9758326.630046986,5137947.951214144
pumpkinseed x bluegill,       108,South Branch Chicago River at Loomis Street,2010,1,1,South Branch Chicago River,-9758326.630046986,5137947.951214144
pumpkinseed,        99,Bubbly Creek at Archer Avenue,"2002, 2006, 2010",23,7,Bubbly Creek,-9758696.948071491,5136817.240627698
orangespotted sunfish,        99,Bubbly Creek at Archer Avenue,2010,1,1,Bubbly Creek,-9758696.948071491,5136817.240627698
green sunfish,        99,Bubbly Creek at Archer Avenue,"2006, 2010",2,1,Bubbly Creek,-9758696.948071491,5136817.240627698
common carp,        99,Bubbly Creek at Archer Avenue,"2002, 2006, 2010",10,3,Bubbly Creek,-9758696.948071491,5136817.240627698
black crappie,        13,Des Plaines River at Lake-Cook Road,"2005, 2006, 2008, 2009, 2010",7,1,Des Plaines River,-9786103.272410415,5183885.200209065
freshwater drum,       100,Chicago River at Wells Street,2010,1,1,Chicago River,-9755339.676982595,5144145.544547021
yellow bass,       100,Chicago River at Wells Street,2010,1,1,Chicago River,-9755339.676982595,5144145.544547021
white perch,       100,Chicago River at Wells Street,"2002, 2010",4,2,Chicago River,-9755339.676982595,5144145.544547021
golden shiner,       100,Chicago River at Wells Street,2010,1,1,Chicago River,-9755339.676982595,5144145.544547021
rock bass,       100,Chicago River at Wells Street,"2006, 2010",3,1,Chicago River,-9755339.676982595,5144145.544547021
pumpkinseed,       100,Chicago River at Wells Street,"2002, 2006, 2010",20,6,Chicago River,-9755339.676982595,5144145.544547021
green sunfish,       100,Chicago River at Wells Street,"2002, 2006, 2010",5,1,Chicago River,-9755339.676982595,5144145.544547021
largemouth bass,       100,Chicago River at Wells Street,"2002, 2006, 2010",39,13,Chicago River,-9755339.676982595,5144145.544547021
common carp,       100,Chicago River at Wells Street,"2002, 2006, 2010",64,21,Chicago River,-9755339.676982595,5144145.544547021
gizzard shad,       100,Chicago River at Wells Street,"2002, 2006, 2010",326,108,Chicago River,-9755339.676982595,5144145.544547021
white perch,        55,Calumet River at 130th Street,"2001, 2005, 2007, 2010",10,2,Calumet River,-9748530.69045206,5110104.230203494
white crappie,        41,Chicago Sanitary and Ship Canal at Harlem Avenue,2010,1,1,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
white perch,        75,Chicago Sanitary and Ship Canal at Cicero Avenue,2010,4,4,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
bluegill,        42,Chicago Sanitary and Ship Canal at Route 83,2010,1,1,Chicago Sanitary and Ship Canal,-9789421.360370245,5116449.74955103
gizzard shad,        42,Chicago Sanitary and Ship Canal at Route 83,"2002, 2006, 2010",6,2,Chicago Sanitary and Ship Canal,-9789421.360370245,5116449.74955103
yellow bullhead,        46,North Branch Chicago River at Grand Avenue,"2006, 2010",3,1,North Branch Chicago River,-9756156.248665709,5144758.297382973
white sucker,        46,North Branch Chicago River at Grand Avenue,"2006, 2010",2,1,North Branch Chicago River,-9756156.248665709,5144758.297382973
carp x goldfish,        46,North Branch Chicago River at Grand Avenue,"2002, 2010",2,1,North Branch Chicago River,-9756156.248665709,5144758.297382973
pumpkinseed x bluegill,        74,Chicago River at Lake Shore Drive,2010,2,2,Chicago River,-9753112.184339533,5144283.186382862
orangespotted sunfish,        74,Chicago River at Lake Shore Drive,2010,2,2,Chicago River,-9753112.184339533,5144283.186382862
yellow perch,        74,Chicago River at Lake Shore Drive,2010,5,5,Chicago River,-9753112.184339533,5144283.186382862
green sunfish,        74,Chicago River at Lake Shore Drive,2010,2,2,Chicago River,-9753112.184339533,5144283.186382862
largemouth bass,        74,Chicago River at Lake Shore Drive,"2002, 2006, 2010",14,4,Chicago River,-9753112.184339533,5144283.186382862
pumpkinseed,        74,Chicago River at Lake Shore Drive,"2002, 2006, 2010",9,3,Chicago River,-9753112.184339533,5144283.186382862
common carp,        74,Chicago River at Lake Shore Drive,"2002, 2006, 2010",12,4,Chicago River,-9753112.184339533,5144283.186382862
largemouth bass,        39,South Branch Chicago River at Madison Street,"2006, 2010",3,1,South Branch Chicago River,-9755836.894673718,5143332.001117509
black crappie,        39,South Branch Chicago River at Madison Street,2010,1,1,South Branch Chicago River,-9755836.894673718,5143332.001117509
white perch,        39,South Branch Chicago River at Madison Street,2010,1,1,South Branch Chicago River,-9755836.894673718,5143332.001117509
common carp,        39,South Branch Chicago River at Madison Street,"2002, 2006, 2010",26,8,South Branch Chicago River,-9755836.894673718,5143332.001117509
bluegill,        39,South Branch Chicago River at Madison Street,"2002, 2006, 2010",7,2,South Branch Chicago River,-9755836.894673718,5143332.001117509
bluegill,        40,Chicago Sanitary and Ship Canal at Damen Avenue,"2002, 2006, 2010",37,12,Chicago Sanitary and Ship Canal,-9759974.102935709,5137287.498239143
golden shiner,        40,Chicago Sanitary and Ship Canal at Damen Avenue,"2002, 2006, 2010",20,6,Chicago Sanitary and Ship Canal,-9759974.102935709,5137287.498239143
oriental weatherfish,        40,Chicago Sanitary and Ship Canal at Damen Avenue,2010,1,1,Chicago Sanitary and Ship Canal,-9759974.102935709,5137287.498239143
bluntnose minnow,        40,Chicago Sanitary and Ship Canal at Damen Avenue,"2002, 2006, 2010",21,7,Chicago Sanitary and Ship Canal,-9759974.102935709,5137287.498239143
spotfin shiner,        40,Chicago Sanitary and Ship Canal at Damen Avenue,"2006, 2010",15,7,Chicago Sanitary and Ship Canal,-9759974.102935709,5137287.498239143
pumpkinseed x bluegill,        22,Des Plaines River at Ogden Avenue,"2002, 2006, 2010",3,1,Des Plaines River,-9775033.160497827,5134155.08934849
creek chub,        22,Des Plaines River at Ogden Avenue,"2005, 2006, 2008, 2010",15,3,Des Plaines River,-9775033.160497827,5134155.08934849
warmouth,        13,Des Plaines River at Lake-Cook Road,2010,1,1,Des Plaines River,-9786103.272410415,5183885.200209065
bluegill,       100,Chicago River at Wells Street,"2002, 2006, 2010",17,5,Chicago River,-9755339.676982595,5144145.544547021
brook silverside,       100,Chicago River at Wells Street,2010,1,1,Chicago River,-9755339.676982595,5144145.544547021
bluntnose minnow,       100,Chicago River at Wells Street,2010,6,6,Chicago River,-9755339.676982595,5144145.544547021
spotfin shiner,       100,Chicago River at Wells Street,2010,15,15,Chicago River,-9755339.676982595,5144145.544547021
fathead minnow,        96,North Branch Chicago River at Albany Avenue,"2008, 2009, 2010",43,14,North Branch Chicago River,-9764088.462110577,5156857.124687181
creek chub,        78,Higgins Creek at Wille Road,"2006, 2010",8,4,Higgins Creek,-9789066.534741784,5163778.873133089
Iowa darter,        18,Salt Creek at Devon Avenue,2010,1,1,Salt Creek,-9795587.075606022,5159923.790866642
smallmouth buffalo,        76,Little Calumet River at Halsted Street,2010,1,1,Little Calumet River,-9756147.689317683,5109826.122291395
black buffalo,        76,Little Calumet River at Halsted Street,2010,6,6,Little Calumet River,-9756147.689317683,5109826.122291395
yellow bass,        75,Chicago Sanitary and Ship Canal at Cicero Avenue,"2007, 2009, 2010",11,3,Chicago Sanitary and Ship Canal,-9767527.508297497,5134013.305608013
mosquitofish,        43,Calumet-Sag Channel at Route 83,"2007, 2010",2,1,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
emerald shiner,        39,South Branch Chicago River at Madison Street,"2002, 2010",79,39,South Branch Chicago River,-9755836.894673718,5143332.001117509
golden shiner,        39,South Branch Chicago River at Madison Street,"2002, 2010",11,5,South Branch Chicago River,-9755836.894673718,5143332.001117509
gizzard shad,        39,South Branch Chicago River at Madison Street,"2002, 2006, 2010",74,24,South Branch Chicago River,-9755836.894673718,5143332.001117509
spotfin shiner,        39,South Branch Chicago River at Madison Street,"2002, 2006, 2010",201,67,South Branch Chicago River,-9755836.894673718,5143332.001117509
yellow bass,        46,North Branch Chicago River at Grand Avenue,2010,1,1,North Branch Chicago River,-9756156.248665709,5144758.297382973
bluntnose minnow,        46,North Branch Chicago River at Grand Avenue,"2001, 2003, 2007, 2008, 2009, 2010",15,2,North Branch Chicago River,-9756156.248665709,5144758.297382973
bluntnose minnow,        74,Chicago River at Lake Shore Drive,2010,2,2,Chicago River,-9753112.184339533,5144283.186382862
spotfin shiner,        74,Chicago River at Lake Shore Drive,2010,22,22,Chicago River,-9753112.184339533,5144283.186382862
bluegill,        74,Chicago River at Lake Shore Drive,"2002, 2006, 2010",25,8,Chicago River,-9753112.184339533,5144283.186382862
rock bass,        74,Chicago River at Lake Shore Drive,"2006, 2010",4,2,Chicago River,-9753112.184339533,5144283.186382862
brook silverside,        74,Chicago River at Lake Shore Drive,2010,3,3,Chicago River,-9753112.184339533,5144283.186382862
gizzard shad,        74,Chicago River at Lake Shore Drive,"2002, 2006, 2010",160,53,Chicago River,-9753112.184339533,5144283.186382862
fathead minnow,        48,Chicago Sanitary and Ship Canal at Stephen Street,2010,3,3,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
emerald shiner,        48,Chicago Sanitary and Ship Canal at Stephen Street,"2002, 2006, 2010",12,4,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
bluntnose minnow,        48,Chicago Sanitary and Ship Canal at Stephen Street,"2002, 2006, 2010",21,7,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
black bullhead,        13,Des Plaines River at Lake-Cook Road,"2003, 2011",2,1,Des Plaines River,-9786103.272410415,5183885.200209065
largemouth bass,        13,Des Plaines River at Lake-Cook Road,"2001, 2003, 2004, 2005, 2006, 2008, 2009, 2010, 2011",34,3,Des Plaines River,-9786103.272410415,5183885.200209065
pumpkinseed,        13,Des Plaines River at Lake-Cook Road,2011,1,1,Des Plaines River,-9786103.272410415,5183885.200209065
white sucker,        13,Des Plaines River at Lake-Cook Road,"2005, 2009, 2011",3,1,Des Plaines River,-9786103.272410415,5183885.200209065
central mudminnow,        91,Des Plaines River at Material Service Road,"2007, 2009, 2011",4,1,Des Plaines River,-9803757.593335949,5100729.017568359
grass pickerel,        97,Thorn Creek at 170th Street,2011,1,1,Thorn Creek,-9748874.28283881,5099238.777878965
round goby,        97,Thorn Creek at 170th Street,2011,2,2,Thorn Creek,-9748874.28283881,5099238.777878965
bluegill,        54,Thorn Creek at Joe Orr Road,"2003, 2011",2,1,Thorn Creek,-9754419.852949658,5089457.720876058
yellow bullhead,        54,Thorn Creek at Joe Orr Road,"2007, 2011",5,2,Thorn Creek,-9754419.852949658,5089457.720876058
johnny darter,        54,Thorn Creek at Joe Orr Road,2011,1,1,Thorn Creek,-9754419.852949658,5089457.720876058
yellow perch,        50,Indian Creek at Burnham Avenue (Sample at 126th Street),2011,1,1,Wolf Lake Drain,-9744778.986089032,5110875.941051556
common carp,        50,Indian Creek at Burnham Avenue (Sample at 126th Street),2011,1,1,Wolf Lake Drain,-9744778.986089032,5110875.941051556
grass pickerel,        50,Indian Creek at Burnham Avenue (Sample at 126th Street),2011,2,2,Wolf Lake Drain,-9744778.986089032,5110875.941051556
longear sunfish,        50,Indian Creek at Burnham Avenue (Sample at 126th Street),"2003, 2007, 2011",29,9,Wolf Lake Drain,-9744778.986089032,5110875.941051556
smallmouth bass,        50,Indian Creek at Burnham Avenue (Sample at 126th Street),"2003, 2011",3,1,Wolf Lake Drain,-9744778.986089032,5110875.941051556
white sucker,        50,Indian Creek at Burnham Avenue (Sample at 126th Street),2011,1,1,Wolf Lake Drain,-9744778.986089032,5110875.941051556
largemouth bass,        50,Indian Creek at Burnham Avenue (Sample at 126th Street),"2007, 2011",2,1,Wolf Lake Drain,-9744778.986089032,5110875.941051556
emerald shiner,        50,Indian Creek at Burnham Avenue (Sample at 126th Street),2011,1,1,Wolf Lake Drain,-9744778.986089032,5110875.941051556
golden shiner,        50,Indian Creek at Burnham Avenue (Sample at 126th Street),"2007, 2011",2,1,Wolf Lake Drain,-9744778.986089032,5110875.941051556
spottail shiner,        50,Indian Creek at Burnham Avenue (Sample at 126th Street),2011,3,3,Wolf Lake Drain,-9744778.986089032,5110875.941051556
brook silverside,        50,Indian Creek at Burnham Avenue (Sample at 126th Street),2011,19,19,Wolf Lake Drain,-9744778.986089032,5110875.941051556
bluegill,        50,Indian Creek at Burnham Avenue (Sample at 126th Street),"2003, 2007, 2011",63,21,Wolf Lake Drain,-9744778.986089032,5110875.941051556
bluntnose minnow,        50,Indian Creek at Burnham Avenue (Sample at 126th Street),2011,706,706,Wolf Lake Drain,-9744778.986089032,5110875.941051556
mosquitofish,        92,Chicago Sanitary and Ship Canal at Lockport (16th Street),2011,14,14,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
yellow perch,        57,Little Calumet River at Ashland Avenue,2011,1,1,Little Calumet River,-9758345.734333793,5108959.791525536
white sucker,        57,Little Calumet River at Ashland Avenue,2011,1,1,Little Calumet River,-9758345.734333793,5108959.791525536
yellow bullhead,        58,Calumet-Sag Channel at Ashland Avenue,"2003, 2007, 2011",10,3,Calumet-Sag Channel,-9758306.686186207,5109440.062465825
green sunfish,        58,Calumet-Sag Channel at Ashland Avenue,"2003, 2007, 2011",18,6,Calumet-Sag Channel,-9758306.686186207,5109440.062465825
largemouth bass,        58,Calumet-Sag Channel at Ashland Avenue,"2003, 2007, 2011",31,10,Calumet-Sag Channel,-9758306.686186207,5109440.062465825
bluntnose minnow,        58,Calumet-Sag Channel at Ashland Avenue,"2003, 2007, 2011",8,2,Calumet-Sag Channel,-9758306.686186207,5109440.062465825
freshwater drum,        58,Calumet-Sag Channel at Ashland Avenue,"2003, 2007, 2011",5,1,Calumet-Sag Channel,-9758306.686186207,5109440.062465825
common carp,        58,Calumet-Sag Channel at Ashland Avenue,"2003, 2007, 2011",110,36,Calumet-Sag Channel,-9758306.686186207,5109440.062465825
gizzard shad,        58,Calumet-Sag Channel at Ashland Avenue,"2003, 2007, 2011",102,34,Calumet-Sag Channel,-9758306.686186207,5109440.062465825
bluegill,        58,Calumet-Sag Channel at Ashland Avenue,"2003, 2007, 2011",25,8,Calumet-Sag Channel,-9758306.686186207,5109440.062465825
black crappie,        52,Little Calumet River at Wentworth Avenue,2011,1,1,Little Calumet River,-9743762.861862704,5099049.677060608
